local_compania,ano,origem_cacau,ingredientes,caracteristicas,percentagem_cacau,ID
U.S.A.,2021,Bolivia,"2- B,S",spice/herb dominate cocoa base,70%,1065
U.S.A.,2021,Dominican Republic,"2- B,S","sandy, sweet, earthy,deep cocoa",70%,1066
Vietnam,2011,Vietnam,"5- B,S,C,V,L","fatty, vanilla, dairy",72%,1067
U.S.A.,2021,Madagascar,"3- B,S,C","fruity, cocoa, sweet",72%,1068
U.S.A.,2021,Tanzania,"3- B,S,C","nutty, spicy, candied orange",70%,1069
U.S.A.,2021,Dominican Republic,"3- B,S,C","dried fruit, orange peel, cocoa",75%,1070
U.S.A.,2021,Vietnam,"3- B,S,C","roasty, sweet, fruity, cocoa",73%,1071
U.K.,2006,Blend,"5- B,S,C,V,L","mildly rich, basic, roasty",70%,1072
Japan,2016,Madagascar,"2- B,S","rich, coffee, cherry",70%,1073
Japan,2019,Peru,"2- B,S","sour grapes, pungent, ashey",73%,1074
U.K.,2021,India,"3- B,S,C","spicy, vanilla",70%,1075
Grenada,2008,Grenada,"5- B,S,C,V,L","very sour, grassy, fatty",71%,1076
Grenada,2009,Grenada,"5- B,S,C,V,L","very sweet, coffee, mild sour",60%,1077
Grenada,2010,Grenada,"5- B,S,C,V,L","chunky, muted, mild bitter",82%,1078
Italy,2009,Ecuador,"4- B,S,C,L","sl. sweet, nutty, off note",64%,1079
Italy,2009,Ghana,"4- B,S,C,L","hot cocoa, very nutty",64%,1080
Italy,2009,Blend,"4- B,S,C,L","light perfume, mild, sweet",64%,1081
Italy,2009,Venezuela,"4- B,S,C,L","gritty, roasty, strong coffee",76%,1082
Italy,2009,Blend,"4- B,S,C,L","mild nutty, spicy, brownie",64%,1083
Italy,2018,Madagascar,"4- B,S,C,L","earthy, chemical or burnt note",70%,1084
U.S.A.,2006,Venezuela,"5- B,S,C,V,L","sweet, creamy, vanilla",65%,1085
U.S.A.,2006,Colombia,"5- B,S,C,V,L","creamy, sweet, floral, vanilla",65%,1086
U.S.A.,2006,Blend,"5- B,S,C,V,L","fatty, cocoa, fruity",61%,1087
U.S.A.,2006,Madagascar,"5- B,S,C,V,L","creamy, sweet, blueberry",65%,1088
U.S.A.,2006,Ecuador,"5- B,S,C,V,L","creamy, blackberry",65%,1089
U.S.A.,2006,Blend,"5- B,S,C,V,L","sweet, rich cocoa, mild citrus",61%,1090
U.S.A.,2007,Blend,"5- B,S,C,V,L","creamy,sandy,nutmeg, moss",72%,1091
U.S.A.,2008,Peru,"5- B,S,C,V,L","sweet, vanilla, rich",65%,1092
U.S.A.,2008,Blend,"5- B,S,C,V,L","perfume, vanilla",64%,1093
U.S.A.,2008,Venezuela,"5- B,S,C,V,L","creamy, nutty",65%,1094
U.S.A.,2009,U.S.A.,"5- B,S,C,V,L","sweet, mild lemon",55%,1095
U.S.A.,2009,Blend,"5- B,S,C,V,L","bitter, fatty, fruit",91%,1096
U.S.A.,2009,Blend,"5- B,S,C,V,L","complex, fruit, nut, raisin",70%,1097
U.S.A.,2010,Trinidad,"5- B,S,C,V,L","creamy, mild tobacco, ham",65%,1098
U.S.A.,2011,Blend,"5- B,S,C,V,L","dutched?, intense, rich cocoa",72%,1099
U.S.A.,2011,Blend,"5- B,S,C,V,L","sweet, creamy, floral, orange",61%,1100
U.S.A.,2011,Blend,"5- B,S,C,V,L","dry, sticky, brownie",72%,1101
U.S.A.,2013,Haiti,"5- B,S,C,V,L","creamy, sl. Burnt, roasty",65%,1102
U.S.A.,2013,Nicaragua,"5- B,S,C,V,L","floral, over roasted, harsh",65%,1103
U.S.A.,2013,Jamaica,"5- B,S,C,V,L","sweet, vanilla, cocoa",65%,1104
U.S.A.,2013,Ecuador,"5- B,S,C,V,L","very spicy, roasty",65%,1105
U.S.A.,2015,Blend,"5- B,S,C,V,L","nutty, black licorice",70%,1106
Canada,2014,Papua New Guinea,"3- B,S,C","smokey, cherries, sour",80%,1108
Canada,2014,Blend,"3- B,S,C","XL nibs, sour, cardboard",74%,1109
Canada,2014,Blend,"3- B,S,C","molasses, sweet, long,cocoa",65%,1110
Canada,2014,Blend,"3- B,S,C","fatty, nutty, earthy",70%,1111
Canada,2014,Blend,"3- B,S,C","sandy, roasted vegetal",80%,1112
Canada,2014,Dominican Republic,"3- B,S,C","chalky, berry, cocoa",75%,1113
Canada,2014,U.S.A.,"3- B,S,C","muted, mild fruit, sweet",66%,1114
Canada,2014,Blend,"3- B,S,C","sandy, intense, cherry",70%,1115
Germany,2007,Ecuador,"4- B,S,C,V","buttery, floral, burnt",77%,1116
Ecuador,2014,Ecuador,"4- B,S,C,L","overyly sweet, banana, yogurt",55%,1117
Ecuador,2014,Ecuador,"4- B,S,C,L","chewy, fatty, sweet, nutty",70%,1118
U.S.A.,2015,Brazil,"3- B,S,C","sandy, sweet, dried fruit",67%,1120
U.S.A.,2015,Brazil,"3- B,S,C","rich chocolate, sweet edge",77%,1121
U.S.A.,2015,Brazil,"3- B,S,C","rich chocolate, sandy texture",74%,1122
U.S.A.,2016,Brazil,"3- B,S,C","powdery, rich, coffee, roasty",85%,1123
U.S.A.,2018,Brazil,"3- B,S,C","flat, late tart notes",75%,1124
U.K.,2019,India,"3- B,S,C","sandy, sweet, cocoa",70%,1125
U.K.,2019,Vietnam,"3- B,S,C","sandy, brownie, coconut",70%,1126
U.S.A.,2019,Peru,"3- B,S,C","pungent, chemical",65%,1127
U.S.A.,2019,Tanzania,"3- B,S,C","cocoa, fatty, fruit",72%,1128
U.S.A.,2019,Dominican Republic,"3- B,S,C","earthy, dirty, dried fruit",70%,1129
Mexico,2021,Mexico,"2- B,S","delicate, carame, tang",70%,1130
Germany,2016,Peru,"3- B,S,L","powdery, vanilla, artificial",64%,1131
Netherlands,2019,Indonesia,"4- B,S,C,L","rubber, fatty, sandy,grape",71%,1132
Netherlands,2019,Blend,"4- B,S,C,L","sandy, fatty, chemical",71%,1133
Netherlands,2019,Venezuela,"4- B,S,C,L","nutty, sweet, fatty, sandy",71%,1134
U.S.A.,2016,Belize,"3- B,S,C","pungent raisin, metallic",70%,1135
U.S.A.,2016,Costa Rica,"3- B,S,C","mostly earthy, mild dried fruit",74%,1136
U.S.A.,2014,Bolivia,"3- B,S,C","woody, earthy, medicinal",67%,1137
U.S.A.,2014,Bolivia,"3- B,S,C",full flavor spectrum,67%,1138
U.S.A.,2014,Ecuador,"3- B,S,C","nutty, butterscotch",67%,1139
U.S.A.,2014,U.S.A.,"3- B,S,C","spicy, intense, fades fast",67%,1140
U.S.A.,2016,U.S.A.,"3- B,S,C","astringent, smoke, cream",72%,1141
U.S.A.,2016,Ecuador,"3- B,S,C",floral,70%,1142
U.S.A.,2016,Ecuador,"3- B,S,C","strong floral, black licorice",77%,1143
U.S.A.,2016,Bolivia,"3- B,S,C","creamy, mild nutty & woody",68%,1144
U.S.A.,2016,Bolivia,"3- B,S,C","dark berry, honey, cream",72%,1145
U.S.A.,2015,Uganda,"3- B,S,C","too sweet, spicy, candied",57%,1146
U.S.A.,2015,Venezuela,"3- B,S,C","sandy, sweet, mild fruit",74%,1147
U.S.A.,2021,Ecuador,"2- B,S","harsh, earthy, dirty",70%,1148
U.S.A.,2021,Nicaragua,"2- B,S","delicate fruit, black tea",70%,1149
U.S.A.,2015,Tanzania,"2- B,S*","intense, palm, earthy",70%,1150
U.S.A.,2015,Madagascar,"2- B,S*","sandy, tart, tangy, palm",74%,1151
U.S.A.,2015,Venezuela,"2- B,S*","intense, palm, nutty",70%,1152
U.S.A.,2015,Ecuador,"2- B,S*","floral, palm, sour",73%,1153
U.S.A.,2015,Peru,"2- B,S*","palm, spicy, flour",70%,1154
U.S.A.,2018,Peru,"2- B,S*","light color, sour, pungent",70%,1155
U.S.A.,2018,Ecuador,"2- B,S*","harsh flavor, hay",73%,1156
U.S.A.,2018,Madagascar,"2- B,S*","sour, citrus, molasses",74%,1157
U.S.A.,2018,Tanzania,"2- B,S*","lemon, late sour & molasses",70%,1158
U.S.A.,2018,Dominican Republic,"2- B,S*","fruity, tannic, coconut",71%,1159
New Zealand,2016,Madagascar,"3- B,S,C","sour, earthy",70%,1160
New Zealand,2016,Venezuela,"3- B,S,C","nutty, off notes",72%,1161
New Zealand,2016,Dominican Republic,"3- B,S,C","intense, bitter, coffee",75%,1162
New Zealand,2016,Peru,"3- B,S,C","mild caramel, honey",66%,1163
New Zealand,2019,Venezuela,"3- B,S,C","high acid,sweet,nut,strawberry",68%,1164
New Zealand,2019,Ecuador,"3- B,S,C","butterscotch, burnt cinnamon",85%,1165
Ecuador,2009,Ecuador,"4- B,S,C,L","perfume, burning",80%,1166
Ecuador,2009,Ecuador,"2- B,S","sandy, perfume, nutty",80%,1167
Ecuador,2009,Ecuador,"2- B,S","dry, floral, slight musty",72%,1168
Ecuador,2009,Ecuador,"4- B,S,C,L","dry, intense floral, spciy",58%,1169
Ecuador,2009,Ecuador,"4- B,S,C,L","dry, nutty, sweet",58%,1170
Israel,2009,Ivory Coast,"2- B,S","dry, sour, cheesey, off",70%,1171
Israel,2009,Dominican Republic,"2- B,S","sandy, red berry, sour",70%,1172
Israel,2009,Peru,"2- B,S","coffee, red berry, tart",70%,1173
Israel,2009,Dominican Republic,"2- B,S","red berry, cocoa, mild coffee",75%,1174
Israel,2015,Ecuador,"4- B,S,C,L","floral, roasty, coffee",70%,1175
Israel,2015,Madagascar,"4- B,S,C,L","rich cocoa, fatty",70%,1176
Israel,2015,Trinidad,"4- B,S,C,L","creamy, nutty, tea, fatty",70%,1177
Israel,2015,Venezuela,"4- B,S,C,L","muted, fatty, nutty",70%,1178
Israel,2016,Peru,"4- B,S,C,L","sour, raw, green",70%,1179
South Africa,2014,Ecuador,"2- B,S*","true to sugar, green, fatty",72%,1180
U.K.,2013,St. Lucia,"2- B,S",cardamon,70%,1182
U.K.,2015,St. Lucia,"2- B,S","smoke, cocoa, fruit, fuel",70%,1183
U.K.,2018,Colombia,"4- B,S,C,L","dry, woody, dried fruit",75%,1184
U.K.,2019,Honduras,"4- B,S,C,L","sour raisin, woody, fatty",72%,1185
U.K.,2019,Tanzania,"4- B,S,C,L","fatty, mild bitter, banana",80%,1186
U.K.,2008,Tanzania,"4- B,S,C,L","sandy, sweet, mild cocoa",75%,1188
U.K.,2008,St. Lucia,"3- B,S,C","grassy, tobacco, intense",72%,1189
U.K.,2008,Sao Tome,"4- B,S,C,L","fungal, mushroom, mild burn",72%,1190
U.K.,2010,Venezuela,"4- B,S,C,L","ashey, woody, bright red",70%,1192
U.K.,2011,Ecuador,"4- B,S,C,L","mild bitter, floral",80%,1194
U.K.,2011,St. Lucia,"4- B,S,C,L","woody, nutty, short",65%,1195
U.K.,2011,St. Lucia,"4- B,S,C,L","sweet, cocoa, grassy",65%,1196
U.K.,2012,Madagascar,"4- B,S,V,L","sweet, red berry, sour",66%,1197
U.K.,2013,Ecuador,1- B,"candy,uncontrolled bitterness",100%,1198
U.K.,2013,Trinidad,"4- B,S,C,L","sandy, vegetal, sour",75%,1201
U.K.,2013,Ecuador,"2- B,S","oily, leathery, intense bitter",90%,1202
U.K.,2013,Madagascar,"4- B,S,C,L","nutty, mild coffee",72%,1203
U.K.,2013,Vietnam,"4- B,S,C,L","tart, fruity, intense",80%,1204
U.K.,2013,Ecuador,"2- B,S","oily, spicy, sl. Burnt",82%,1205
Canada,2013,Venezuela,"3- B,S,C","fatty, gritty, roasty",70%,1206
Canada,2013,Venezuela,"3- B,S,C","nutty, coffee, rich",70%,1207
Canada,2014,Bolivia,"3- B,S,C","intense, cherry, metallic",70%,1208
Canada,2014,Bolivia,"3- B,S,C","woody, floral, metallic",70%,1209
Canada,2014,Nicaragua,"3- B,S,C","earthy, metallic edge",70%,1210
Canada,2014,Dominican Republic,"3- B,S,C","spicy, mild fruit, fatty",70%,1211
Canada,2014,Dominican Republic,"3- B,S,C","raisins, rich choco",70%,1212
Canada,2015,Vietnam,"3- B,S,C","spicy, mild roasty",70%,1213
Switzerland,2011,Venezuela,"3- B,S,C","creamy, sour, raisin",72%,1214
Switzerland,2011,Venezuela,"3- B,S,C","creamy, nutty, muted",72%,1215
Switzerland,2011,Venezuela,"3- B,S,C","creamy, cocoa, lemon",72%,1216
Switzerland,2011,Venezuela,"3- B,S,C","creamy, roasted nuts, fatty",72%,1217
Switzerland,2011,Venezuela,"3- B,S,C","creamy, nutty, cocoa",72%,1218
Switzerland,2011,Venezuela,"3- B,S,C","creamy, nutty, delicate fruit",74%,1219
Switzerland,2011,Venezuela,"3- B,S,C","creamy, nutty, fruity",70%,1220
Switzerland,2011,Venezuela,"3- B,S,C","peanut, coffee, cocoa, bread",72%,1221
Switzerland,2011,Venezuela,"3- B,S,C","creamy, nutty, earthy",72%,1222
Switzerland,2013,Venezuela,"3- B,S,C","fatty, rich, berry notes",72%,1223
India,2016,India,"4- B,S,C,L","sour, sweet, rubber",61%,1224
U.S.A.,2014,Honduras,"3- B,S,C","buttery, intense, spice, roasty",77%,1225
U.S.A.,2017,Vietnam,"3- B,S,C","molasses, roasty",72%,1226
Scotland,2012,Peru,"4- B,S*,C,L","very sandy, sweet, spicy",72%,1227
Scotland,2012,Peru,"4- B,S*,C,L","sandy, caramel",72%,1228
U.S.A.,2014,Peru,"2- B,S","off notes, pungent",72%,1229
U.S.A.,2014,Belize,"2- B,S","mild metallic, spice, tea",72%,1230
U.S.A.,2014,Dominican Republic,"2- B,S","roasty, nutty, spicy",72%,1231
U.S.A.,2014,Madagascar,"2- B,S","intense, tart, earthy",72%,1232
St.Vincent-Grenadines,2018,St.Vincent-Grenadines,"4- B,S,C,L","woody, meaty, vegetal",72%,1233
U.S.A.,2015,Dominican Republic,"2- B,S","intense, molasses, fruit",70%,1234
U.S.A.,2015,Belize,"2- B,S","intense, cherry, rich, metallic",70%,1235
U.S.A.,2006,Ghana,"5- B,S,C,V,L","gritty, unrefined, off notes",71%,1236
U.S.A.,2018,Venezuela,"3- B,S,C","sandy, sweet",72%,1237
U.S.A.,2017,Jamaica,"4- B,S,C,L","candy like, sweet, dairy",67%,1238
U.S.A.,2017,Peru,"4- B,S,C,L","floral, tobacco, candied",75%,1239
U.S.A.,2017,Venezuela,"3- B,S,C","dairy, nutty, butterscotch",72%,1240
U.S.A.,2017,Vietnam,"4- B,S,C,L","sweet, fruity, vanilla",65%,1241
U.S.A.,2017,Ecuador,"4- B,S,C,L","floral, bourbon, salt",70%,1242
U.S.A.,2017,Madagascar,"5- B,S,C,V,L","vanilla, gateway",68%,1243
U.S.A.,2017,Ecuador,"4- B,S,C,L","full bodied, floral",78%,1244
U.S.A.,2018,India,"4- B,S,C,L","gritty, coffee, sweet, hammy",66%,1245
U.S.A.,2018,Colombia,"4- B,S,C,L","complex, bold, gritty",73%,1246
U.S.A.,2018,Trinidad,"4- B,S,C,L","bold, spice, sour fruit, gritty",80%,1247
Czech Republic,2015,Madagascar,"2- B,S","off note, vanilla, basic cocoa",63%,1248
Czech Republic,2020,Venezuela,"3- B,S,C","harsh, burnt nuts, powdery",75%,1249
Thailand,2018,Thailand,"3- B,S,C","floral, earthy, grassy",70%,1250
Thailand,2018,Thailand,"3- B,S,C","nutty, cocoa, sour veggie",70%,1251
Thailand,2018,Thailand,"3- B,S,C","herbal, tea-like",70%,1252
Thailand,2018,Thailand,"3- B,S,C",brownie,70%,1253
Dominican Republic,2013,Dominican Republic,"5- B,S,C,V,L","nutty, sour milk, off note",82%,1254
Dominican Republic,2013,Dominican Republic,"5- B,S,C,V,L","very sweet, basic cocoa",55%,1255
Dominican Republic,2013,Dominican Republic,"5- B,S,C,V,L","candy-like, peanut butter",62%,1256
Dominican Republic,2013,Dominican Republic,"5- B,S,C,V,L","raisins, prunes",70%,1257
U.S.A.,2020,Dominican Republic,"4- B,S,C,L","rich cocoa, dried fruit, roasty",68%,1258
U.S.A.,2020,Dominican Republic,"3- B,S,C","light color, nutty, caramel",70%,1259
U.S.A.,2020,Dominican Republic,"4- B,S,C,L","banana, fall spices, earthy",67%,1260
Dominican Republic,2019,Dominican Republic,"3- B,S,C","sandy, sweet, acidic",70%,1261
U.S.A.,2019,Dominican Republic,"4- B,S,C,L","creamy, black tea, vegetal",72%,1262
Dominican Republic,2019,Dominican Republic,"3- B,S,C","creamy, balanced, fig, cocoa",71.50%,1263
Dominican Republic,2019,Dominican Republic,"4- B,S,C,L","creamy, floral, dried fruit",68%,1264
U.S.A.,2019,Dominican Republic,"4- B,S,C,L","creamy, distinct, dried fruit",65%,1265
Spain,2019,Nicaragua,"3- B,S,C","spicy, tobacco",75%,1266
Spain,2019,Peru,"3- B,S,C","muted, grapes, astringent",75%,1267
Spain,2019,Tanzania,"3- B,S,C","base cocoa, fruit, fatty",75%,1268
Ecuador,2008,Ecuador,"4- B,S,C,V","crumbly, vanilla, bitter",85%,1271
Ecuador,2008,Ecuador,"4- B,S,C,V","grassy, earthy, coffee",75%,1272
Ecuador,2008,Ecuador,"4- B,S,C,V","sweet, vanilla, coffee",75%,1273
Ecuador,2008,Ecuador,"4- B,S,C,V","creamy, nutty, bitter, flat",85%,1274
Ecuador,2008,Ecuador,"4- B,S,C,V","creamy, mild marshmallow",70%,1275
Ecuador,2008,Ecuador,"4- B,S,C,V","spicy, mild bitter",85%,1276
Ecuador,2008,Ecuador,"4- B,S,C,V","fruity,floral,cooling sensation",85%,1277
Ecuador,2008,Ecuador,"4- B,S,C,V","intense, mint, marshmallow",70%,1278
Canada,2021,Philippines,"3- B,S,C","licorice, melon",70%,1281
Canada,2021,Papua New Guinea,"3- B,S,C","plum, molasses",70%,1282
U.S.A.,2013,Dominican Republic,"3- B,S,C","fatty, dark berry, grassy",70%,1283
Mexico,2009,Mexico,"5- B,S,C,V,L","sweet, vanilla domintates, nut",72%,1284
Canada,2020,Colombia,"3- B,S,C","poor finish, cocoa, grassy",70%,1285
U.S.A.,2014,Dominican Republic,"2- B,S","gritty, overly sweet, citrus",60%,1286
Amsterdam,2017,Belize,"2- B,S","gritty, sour, berries",70%,1287
Amsterdam,2017,Vietnam,"2- B,S","sticky, molasses, sour",70%,1288
Amsterdam,2017,Mexico,"2- B,S","medium roast, nutty",70%,1289
Amsterdam,2018,Madagascar,"2- B,S","roasty, nutty",70%,1290
Amsterdam,2018,Philippines,"2- B,S","nuts, dried fruit, grassy",70%,1291
Amsterdam,2018,Mexico,"2- B,S","intense, high acidity",70%,1292
Netherlands,2019,Colombia,"2- B,S","light color,",70%,1293
Amsterdam,2019,Papua New Guinea,"2- B,S","astringent, smomkey cocoa",70%,1294
U.S.A.,2014,Peru,"2- B,S","intense, pungent, tangy",72%,1295
U.S.A.,2014,Venezuela,"3- B,S,C","nutty, pungent, sour",72%,1296
U.S.A.,2014,Belize,"3- B,S,C","nutty, sour milk",72%,1297
U.S.A.,2014,Madagascar,"3- B,S,C","strawberry, intense, sour",72%,1298
U.S.A.,2014,Belize,"2- B,S","intense, spicy, pungent",90%,1299
U.S.A.,2014,Dominican Republic,"3- B,S,C","spicy, molasses, earthy",72%,1300
U.S.A.,2014,Dominican Republic,"3- B,S,C","earthy, fatty, tea",72%,1301
U.S.A.,2016,Peru,"4- B,S,C,L","astringent, unbalanced, off",70%,1302
U.S.A.,2016,Haiti,"4- B,S,C,L","spicy, vanilla, dairy",70%,1303
U.S.A.,2016,Brazil,"4- B,S,C,L","creamy, mild flavors",70%,1304
U.S.A.,2016,Ecuador,"4- B,S,C,L",oranges,70%,1305
U.S.A.,2014,Uganda,"5-B,S,C,V,Sa","vanilla, earth, cardboard",72.5%,1306
U.S.A.,2014,Ecuador,"5-B,S,C,V,Sa","intense, bourbon, vanilla",72.5%,1307
U.S.A.,2014,Dominican Republic,"5-B,S,C,V,Sa","vanilla, candy-like, sour milk",72.5%,1308
U.S.A.,2014,Madagascar,"5-B,S,C,V,Sa",mild vanilla and mild fruit,72.5%,1309
U.S.A.,2009,Bolivia,"5- B,S,C,V,L","rich, spice, cheese",68%,1310
U.S.A.,2009,Madagascar,"5- B,S,C,V,L","smooth, rich, lemon",64%,1311
U.S.A.,2010,Venezuela,"5- B,S,C,V,L","cocoa, nutty, acidic, burning",71%,1312
U.S.A.,2010,Grenada,"5- B,S,C,V,L","creamy, cocoa, spice",75%,1313
U.S.A.,2010,Dominican Republic,"5- B,S,C,V,L","simple, rich hot cocoa",74%,1314
U.S.A.,2011,Ecuador,"5- B,S,C,V,L","spicy, roasty, coffee",74%,1315
U.S.A.,2012,Peru,"5- B,S,C,V,L","floral, soapy, earthy",74%,1316
U.S.A.,2012,Venezuela,"5- B,S,C,V,L","berry, rich cocoa dominates",68%,1317
U.S.A.,2012,Brazil,"5- B,S,C,V,L","creamy, woody, nutty",70%,1318
U.S.A.,2019,Fiji,"3- B,S,C","unrefined, sweet, basic cocoa",68%,1319
U.S.A.,2018,Dominican Republic,"2- B,S","anise, spicy, earthy",70%,1324
U.S.A.,2018,Peru,"2- B,S","earthy, molasses, dried fruit",75%,1325
U.S.A.,2018,Belize,"4- B,S,C,L","molasses, high acidity",70%,1326
U.S.A.,2018,Guatemala,"2- B,S","tart, molasses, grits",70%,1327
France,2018,Belize,"2- B,S","fruit, cocoa, grape",70%,1328
France,2018,Guatemala,"2- B,S","dry, melon, cocoa",70%,1329
France,2019,Peru,"2- B,S","sandy, grapes",72%,1330
France,2008,Blend,"4- B,S,C,L","roasty, dark berry, rich",74%,1331
France,2009,Blend,"4- B,S,C,L","rich, sweet, cocoa, intense",60%,1332
France,2009,Ghana,"4- B,S,C,L","rich cocoa, burning sensation",68%,1333
France,2009,Venezuela,"4- B,S,C,L","nutty, grassy, rich cocoa",69%,1334
France,2009,Blend,"4- B,S,C,L","cocoa, caramel, sweet",60%,1335
France,2011,Grenada,"4- B,S,C,L","rich, vegetal, banana, spice",68%,1336
France,2012,Dominican Republic,"4- B,S,C,L","nutty, pear, sour milk",66%,1337
France,2013,Blend,"4- B,S,C,L","brownie, cocoa, sour, sweet",74%,1338
France,2013,Tobago,"4- B,S,C,L","creamy, rich, dairy, nutty",60%,1339
France,2013,Ecuador,"4- B,S,C,L","sweet, nutty, cocoa",56%,1340
Mexico,2018,Mexico,"2- B,S","mild hammy, roasty, sour",70%,1343
Mexico,2018,Mexico,"2- B,S","rich cocoa, mild fruit & nut",70%,1344
Mexico,2018,Mexico,"2- B,S","citrus,prononced orange",70%,1345
France,2014,Cuba,"4- B,S,C,L","fatty, roasty, coffee, off note",70%,1346
France,2014,Blend,"4- B,S,C,L","nutty, woody, leathery",68%,1347
France,2015,Madagascar,"4- B,S,C,L","roasty, sour, cardboard",75%,1348
France,2015,Vietnam,"4- B,S,C,L","gritty, roasty, waxy, off",75%,1349
France,2015,Cuba,"4- B,S,C,L","slight burnt, astringent, fruit",75%,1350
France,2015,Ivory Coast,"4- B,S,C,L","roasty, nutty, rich cocoa",75%,1351
France,2015,Peru,"4- B,S,C,L","sandy, fatty, roasty, fruit",75%,1352
France,2015,Brazil,"4- B,S,C,L","smokey, rich cocoa, spice",75%,1353
France,2015,Sao Tome,"4- B,S,C,L","rich, roasty, nutty, smoke",75%,1354
France,2015,Vietnam,"4- B,S,C,L","creamy, mild honey, floral",75%,1355
U.S.A.,2012,Venezuela,"5- B,S,C,V,L","chalky, fatty, sweet",75%,1358
U.S.A.,2012,Venezuela,"5- B,S,C,V,L","chalky, cocoa, tangy",75%,1359
U.S.A.,2012,Blend,"5- B,S,C,V,L","fatty, nutty, woody",72%,1360
U.S.A.,2016,Nicaragua,"2- B,S","spicy, grassy, roasty",80%,1361
U.K.,2018,Nicaragua,"3- B,S,C","simple, earthy, cocoa",71%,1362
U.K.,2018,Honduras,"3- B,S,C","sandy, rich cocoa",70%,1363
U.K.,2018,Nicaragua,"3- B,S,C","complex, dairy, roasty",73%,1364
U.S.A.,2017,Bolivia,"3- B,S,C","well balanced, melon",74%,1365
Belgium,2019,Colombia,"3- B,S,C","sandy, off, hammy",70%,1366
Belgium,2019,Costa Rica,"3- B,S,C","base cocoa, mild ham, woody",70%,1367
Belgium,2019,Peru,"3- B,S,C","sandy, light color, grape",70%,1368
U.S.A.,2014,Peru,"2- B,S","intense, sticky, cocoa",70%,1369
U.S.A.,2015,Costa Rica,"2- B,S","roasty, black pepper, woody",70%,1370
U.S.A.,2015,Bolivia,"2- B,S","dried fruit, nutty, mushroom",70%,1371
U.S.A.,2015,Dominican Republic,"2- B,S","red fruit, brownie",70%,1372
U.S.A.,2015,Trinidad,"2- B,S","cocoa, spice, fruit",70%,1373
U.S.A.,2015,Tanzania,"2- B,S","subtle, spicy, banana",70%,1374
U.S.A.,2016,Liberia,"2- B,S","floral, black licorice",70%,1375
U.S.A.,2017,Belize,"2- B,S","smokey, mild berry",70%,1376
U.S.A.,2017,Honduras,"2- B,S","strong raspberry, mocha",70%,1377
U.S.A.,2017,Peru,"3- B,S,C","mild, licorice, coffee, cocoa",70%,1378
U.S.A.,2018,Ghana,"3- B,S,C",brownie,70%,1379
U.S.A.,2019,Jamaica,"3- B,S,C","woody, mocha, molasses",70%,1380
U.S.A.,2019,Bolivia,"3- B,S,C","spoiled milk, sweet, molasses",70%,1381
U.S.A.,2021,Sao Tome & Principe,"3- B,S,C","buttery, sunflower, astringent",70%,1382
U.S.A.,2021,U.S.A.,"3- B,S,C",home baked banana nut bread,70%,1383
Finland,2014,Madagascar,"3- B,S,C","sandy, citrus",71%,1384
Finland,2016,Madagascar,"2- B,S","sweet edge, bright fruit, off",70%,1385
U.S.A.,2012,Blend,"2- B,S","grits, roasted, nutty",75%,1386
U.S.A.,2012,Dominican Republic,"2- B,S","fatty, roasty, cocoa",74%,1387
U.S.A.,2012,Peru,"2- B,S","creamy, strawberry, cocoa",65%,1388
U.S.A.,2012,Bolivia,"2- B,S","fatty, nutty, melon like",68%,1389
U.S.A.,2012,Bolivia,"2- B,S","fatty, grassy, cocoa",68%,1390
U.S.A.,2012,Peru,"2- B,S","rich cocoa, spicy edge",68%,1391
Switzerland,2007,Blend,"4- B,S,C,V","harsh burnt, mild cocoa, tang",85%,1392
U.S.A.,2020,Sierra Leone,"2- B,S","grassy, rubbery, chemical",72%,1393
U.S.A.,2020,India,"2- B,S","basic cocoa, dirty/burnt edge",72%,1394
U.S.A.,2020,Vietnam,"2- B,S","spicy, sweet, cocoa",72%,1395
Puerto Rico,2013,Puerto Rico,"5- B,S,C,V,L","black pepper, vanilla, harsh",65%,1396
U.S.A.,2013,U.S.A.,"4- B,S,C,V","aluminum, mild coffee, roasty",71%,1397
U.S.A.,2013,U.S.A.,"4- B,S,C,V","strong, brandy, smoke",72%,1398
U.S.A.,2013,U.S.A.,"4- B,S,C,V","sandy, floral, vanilla, candy",70%,1399
U.S.A.,2014,U.S.A.,"4- B,S,C,V","sweet, candy-like, nutty",65%,1400
U.S.A.,2014,U.S.A.,"2- B,S","spicy, candied, complex",70%,1401
U.S.A.,2014,U.S.A.,"4- B,S,C,V","dairy, pudding",75%,1402
U.S.A.,2021,Bolivia,"3- B,S,C","sweet, sl. smokiness, fruit",70%,1403
U.S.A.,2021,Belize,"3- B,S,C","cherry, fatty, cocoa",75%,1404
U.S.A.,2015,Nicaragua,"2- B,S","multiple off flavors, metallic",75%,1405
Taiwan,2018,Nicaragua,"2- B,S",potting soil,75%,1406
Taiwan,2018,Sumatra,"2- B,S","smokey, earthy, cocoa",70%,1407
Taiwan,2018,Nicaragua,"2- B,S","nutty, mild dairy",80%,1408
Taiwan,2018,Nicaragua,"2- B,S",intense mocha flavor,78%,1409
Brazil,2017,Brazil,"2- B,S","oily, burnt, earthy",81%,1410
Brazil,2018,Brazil,"2- B,S","rustic, basic cocoa, earthy",70%,1411
Brazil,2021,Brazil,"3- B,S,C","mild sweet honey, rum, off",70%,1412
